Area Number,lat,lon
1,1.01,0.67
2,1.0,0.69
3,0.97,0.66
4,0.97,0.69
5,0.95,0.68
6,0.9435,0.6542
7,0.92,0.65
8,0.9,0.63
9,1.01,0.81
10,0.98,0.8
11,0.98,0.77
12,0.9833,0.75
13,0.95,0.68
14,0.97,0.72
15,0.95,0.76
16,0.95,0.73
17,0.95,0.81
18,0.93,0.8
19,0.93,0.76
20,0.92,0.73
21,0.94,0.71
22,0.9283,0.7067
23,0.88,0.7
24,0.9,0.68
25,0.9,0.76
26,0.88,0.73
27,0.88,0.7
28,0.87,0.67
29,0.86,0.71
30,0.85,0.71
31,0.85,0.66
32,0.8833,0.6333
33,0.85,0.62
34,0.8333,0.6333
35,0.83,0.62
36,0.82,0.6
37,0.81,0.6267
38,0.81,0.62
39,0.81,0.6
40,0.79,0.62
41,0.8,0.59
42,0.78,0.6
43,0.76,0.58
44,0.74,0.6117
45,0.75,0.59
46,0.74,0.55
47,0.73,0.6
48,0.7283,0.5797
49,0.71,0.62
50,0.71,0.62
51,0.71,0.56
52,0.7,0.56
53,0.68,0.63
54,0.66,0.61
55,0.66,0.55
56,0.8167,0.76
57,0.81,0.73
58,0.82,0.7
59,0.83,0.67
60,0.84,0.65
61,0.81,0.66
62,0.79,0.72
63,0.79,0.69
64,0.78,0.76
65,0.77,0.72
66,0.77,0.69
67,0.78,0.67
68,0.7798,0.6448
69,0.76,0.61
70,0.75,0.71
71,0.74,0.66
72,0.71,0.68
73,0.72,0.65
74,0.7,0.71
75,0.69,0.67
76,1.0,0.92
77,0.99,0.66
